"Rload","Vout","Vcpass","Vbswitch","Vcswitch","Icswitch","Ipass","Iregulator","Iload","Ibswitch","Vin","R1","R2","Ra","Rb","Rsc","Rin","Cbswitch","Coutput"
0,0,1.18,0.6,10.33,23.5,0.27,1.63,0,0.0006,13.5,470.0,1000.00,100,100,3,3,16,10
0.1,0.3,1.43,0.79,10.25,23.9,0.31,1.65,3,0.0006,13.48,470.0,1000.00,100,100,3,3,16,10
0.2,0.65,2.08,1.25,9.57,27.3,0.42,1.82,3.25,0.0005,13.22,470.0,1000.00,100,100,3,3,16,10
0.46,1.4,3.25,1.98,9.3,28.7,0.54,1.92,3.04,0.0007,13.06,470.0,1000.00,100,100,3,3,16,10
0.56,1.76,3.82,2.37,8.88,30.8,0.61,2.02,3.14,0.0007,12.9,470.0,1000.00,100,100,3,3,16,10
0.65,2.08,4.29,2.68,9.09,29,0.65,1.93,3.2,0.0007,12.86,470.0,1000.00,100,100,3,3,16,10
0.96,3.03,5.78,3.63,8.55,30.8,0.8,2.03,3.16,0.0009,12.6,470.0,1000.00,100,100,3,3,16,10
1.86,4.76,8.38,5.41,10.15,17.8,1.07,1.47,2.56,0.0009,12.76,470.0,1000.00,100,100,3,3,16,10
2.7,5.01,8.68,5.63,11.8,10,1.09,0.74,1.86,0.0009,13.46,470.0,1000.00,100,100,3,3,16,10
3.1,5.09,8.75,5.69,12.29,8.1,1.09,0.52,1.64,0.0008,13.78,470.0,1000.00,100,100,3,3,16,10
4.57,5.18,8.23,5.39,14.25,0.1,0.91,0.21,1.13,0.0007,14.2,470.0,1000.00,100,100,3,3,16,10
5.24,5.18,7.78,5.11,14.42,0,0.77,0.2,0.99,0.0006,14.4,470.0,1000.00,100,100,3,3,16,10
7.3,5.19,6.91,4.58,14.71,0.1,0.51,0.19,0.71,0.0004,14.73,470.0,1000.00,100,100,3,3,16,10
9.64,5.2,6.39,4.26,14.91,0,0.35,0.19,0.54,0.0003,14.9,470.0,1000.00,100,100,3,3,16,10
27,5.21,5.24,3.55,15.93,0,0.01,0.18,0.19,0.0000,16.16,470.0,1000.00,100,100,3,3,16,10
